,chi2,feature,pval,kbest_score
0,425.0673885422564,ps_ind_01,1.9252394877148227e-94,205.33166042584764
1,5.979909924317228,ps_ind_02_cat,0.014469741191405787,12.235166175708406
2,68.54704759522836,ps_ind_03,1.2388641499193477e-16,41.5978186143287
3,35.714440123568615,ps_ind_04_cat,2.284642838517267e-09,52.155641088862865
4,2666.965280157285,ps_ind_05_cat,0.0,506.7131362478117
5,417.5589624056952,ps_ind_06_bin,8.294125662583941e-93,689.5436221301014
6,517.7885730537668,ps_ind_07_bin,1.2813537923014801e-114,697.7344359866304
7,86.01430282705515,ps_ind_08_bin,1.7863890809486408e-20,102.89569187388865
8,32.89926058005095,ps_ind_09_bin,9.706017729556634e-09,40.38484425451833
9,1.9595551473036912,ps_ind_10_bin,0.1615609026498479,1.9602861569361814
10,2.4442493758541963,ps_ind_11_bin,0.11795629872417578,2.448393492963725
11,35.96577523605882,ps_ind_12_bin,2.0081394710132693e-09,36.31057136962589
12,3.5994227648267763,ps_ind_13_bin,0.05779963716109362,3.6028463763769323
13,43.079315527962414,ps_ind_14,5.256505752318785e-11,32.97392071637248
14,474.20787059155066,ps_ind_15,3.891471851211144e-105,275.422471340451
15,155.77649055548574,ps_ind_16_bin,9.473477502785506e-36,459.631491287836
16,718.2207418503667,ps_ind_17_bin,3.2625412566008573e-158,818.2846310693844
17,10.456586080060504,ps_ind_18_bin,0.001222129324753576,12.352159471093495
18,42.22403300804835,ps_reg_01,8.139359731399903e-11,311.97167551216296
19,268.2340110536271,ps_reg_02,2.7529824427968767e-60,721.6979866583072
20,74.12826715560776,ps_reg_03,7.320256971348958e-18,568.4173055126785
21,134.5873565718059,ps_car_01_cat,4.064393761066326e-31,157.32437411431948
22,100.71781903100964,ps_car_02_cat,1.0606705871666364e-23,592.4466993723091
23,31.48353822477512,ps_car_03_cat,2.0113826219892987e-08,625.5217765452539
24,4119.8481015526495,ps_car_04_cat,0.0,644.9544580095151
25,0.11840123673838618,ps_car_05_cat,0.7307749875574816,256.49513018490796
26,365.75430640641855,ps_car_06_cat,1.5726332355991738e-81,79.22973603951131
27,11.908127531549596,ps_car_07_cat,0.0005588955220650224,789.468182968832
28,41.3579084933933,ps_car_08_cat,1.2675759650188102e-10,246.39643770462308
29,15.405239967685574,ps_car_09_cat,8.674741148446319e-05,16.86215324237031
30,0.005428911603830398,ps_car_10_cat,0.9412640995457422,0.6416760459122227
31,391.63135153861367,ps_car_11_cat,3.6536919928989962e-87,22.358218392236434
32,0.2617025757142607,ps_car_11,0.6089528680312914,0.8762902596649562
33,8.015839152379039,ps_car_12,0.004636998268259492,896.9327312696105
34,107.24334945210981,ps_car_13,3.9372967001544278e-25,1734.1696310756952
35,0.4181214848577441,ps_car_14,0.5178758781532813,11.91514025372046
36,79.49060582310736,ps_car_15,4.84523647729503e-19,455.96945676458756
37,0.3466171015814985,ps_calc_01,0.5560343821161494,1.8900134446044619
38,0.20145385122810489,ps_calc_02,0.6535498895885523,1.1003989732895831
39,0.3967531833713649,ps_calc_03,0.528770829892105,2.1645177837263962
40,0.0003353178744076425,ps_calc_04,0.9853902042915748,0.0006372486418850504
41,0.24158230534349592,ps_calc_05,0.6230656190598773,0.35370743407968674
42,0.0009226432554505266,ps_calc_06,0.9757679482313655,0.003984860601768091
43,0.004242672483799291,ps_calc_07,0.9480658764062906,0.006373193576696199
44,0.13907310188996122,ps_calc_08,0.7092042185745044,0.6022007286271396
45,0.2045269584613108,ps_calc_09,0.6510913636552407,0.3076727715909383
46,0.6700777757113789,ps_calc_10,0.4130244921995655,0.6698315579789291
47,0.08213239814762582,ps_calc_11,0.774428182694152,0.08211859835018183
48,0.7662605160307822,ps_calc_12,0.38137638343047275,0.7635064189131373
49,0.11865837353213063,ps_calc_13,0.7304941713601683,0.1186435770042013
50,1.105331726489387,ps_calc_14,0.29309898354839103,1.1045892621985476
51,0.1256315800812161,ps_calc_15_bin,0.7230050750769447,0.14315753044349208
52,0.08620469568694861,ps_calc_16_bin,0.7690587139356087,0.23163283985377106
53,0.007680356720093662,ps_calc_17_bin,0.9301646813490706,0.017227517929606608
54,0.1294831328351833,ps_calc_18_bin,0.7189685474670156,0.1816490108262149
55,1.178273811410888,ps_calc_19_bin,0.2777076935810977,1.8100092858318582
56,0.5793838602945064,ps_calc_20_bin,0.44655392940180194,0.6842981296894926
